NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR13418,BRP Tortolas BESS LLC,Texas RE,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR04022,Bryan Texas Utilities,Texas RE,,DP,,,,,,,,,TO,TOP,TP,,,,
NCR12136,"BT Coniglio Solar, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12515,"BT Connolly Storage, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13400,"BT Cooke Solar, LLC",Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR12345,"BT Cunningham Storage, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13425,"BT Jungmann, LLC",Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR13229,BT Kellam Solar LLC,Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR12270,"BT Noble Solar, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13152,"BT Signal Ranch, LLC",Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR13528,BT Smith Storage LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR12016,"Buckthorn Wind Project, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR04025,"Buffalo Gap Wind Farm, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR10290,"Bull Creek Wind, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13335,"Bynum Solar Project, LLC",Texas RE,,,,GO-2,,,,,,,,,,,,,
NCR13403,"Bypass BESS, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR13174,Byrd Ranch Storage LLC,Texas RE,,,,GO-2,,GOP-2,,,,,,,,,,,
NCR12484,Callisto I Energy Center LLC,Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR00006,Calpine Corporation,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11591,"Cameron Wind I, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11944,Canadian Breaks LLC,Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12374,"Castle Gap Wind Power, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
NCR04028,"CenterPoint Energy Houston Electric, LLC",Texas RE,,DP,,,,,,,,,TO,TOP,TP,,,,
NCR10175,"Central Texas Electric Cooperative, Inc.",Texas RE,,,,,,,,,,,,,,,DP-UFLS,,
NCR12504,"Century Oak Wind Project, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11763,"Chapman Ranch Wind I, LLC",Texas RE,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR10316,"CHI Power, Inc.",Texas RE,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
NCR12354,"Childress Solar Park, LLC",Texas RE,,,GO-1,,,,,,,,,,,,,,
